animal_type,primary_color,sex,dob,intake_condition,intake_type,intake_date,outcome_date,outcome_type,outcome_group,age_at_intake
cat,calico dilute,Female,2018-06-13,under age/weight,stray,2018-07-03,2018-07-04,euthanasia,Not Adopted,6.835616438356165
cat,brown  tabby,Unknown,2017-05-13,under age/weight,stray,2017-06-06,2017-06-06,euthanasia,Not Adopted,7.920547945205479
dog,tan,Male,2014-02-08,normal,stray,2018-02-08,2018-02-14,transfer,Not Adopted,11.180821917808219
cat,black,Neutered,2014-09-12,feral,stray,2017-09-12,2018-01-24,rescue,Adopted,10.58904109589041
cat,orange tabby,Unknown,2015-10-04,injured  severe,stray,2018-10-04,2018-10-04,euthanasia,Not Adopted,9.528767123287672
cat,white,Neutered,2017-01-09,fractious,stray,2020-01-09,2020-01-14,"shelter, neuter, return",Not Adopted,8.26027397260274
dog,white,Male,2015-10-20,normal,stray,2017-10-20,2017-10-27,transfer,Not Adopted,9.484931506849316
other,brown,Unknown,2017-02-11,injured  severe,wildlife,2018-02-11,2018-02-11,euthanasia,Not Adopted,8.169863013698631
dog,gray,Female,2019-08-09,normal,stray,2021-08-08,2021-08-11,return to owner,Not Adopted,5.67945205479452
dog,black,Female,2018-05-08,normal,stray,2018-08-08,2018-08-15,transfer,Not Adopted,6.934246575342466
dog,black,Neutered,2021-10-10,normal,stray,2023-10-08,2024-03-10,adoption,Adopted,3.506849315068493
cat,black,Female,2017-04-13,normal,stray,2017-07-13,2017-07-25,rescue,Adopted,8.002739726027396
cat,brown  tabby,Female,2017-04-13,normal,stray,2017-07-13,2017-07-25,rescue,Adopted,8.002739726027396
cat,brown  tabby,Male,2023-05-15,under age/weight,stray,2023-06-04,2023-06-05,euthanasia,Not Adopted,1.9123287671232876
cat,brown  tabby,Male,2023-05-15,under age/weight,stray,2023-06-04,2023-07-13,adoption,Adopted,1.9123287671232876
cat,gray tabby,Male,2023-05-15,under age/weight,stray,2023-06-04,2023-06-14,rescue,Adopted,1.9123287671232876
cat,brown  tabby,Female,2016-11-14,normal,confiscate,2021-12-12,2021-12-14,return to rescue,Not Adopted,8.413698630136986
dog,brown,Neutered,2012-03-01,behavior  severe,owner surrender,2020-03-01,2020-04-21,rescue,Adopted,13.123287671232877
cat,white,Male,2020-05-22,normal,stray,2020-08-22,2020-08-29,transfer,Not Adopted,4.8931506849315065
dog,gray,Spayed,2017-07-18,aged,stray,2022-07-18,2023-04-08,adoption,Adopted,7.739726027397261
bird,black,Unknown,2017-05-01,ill severe,stray,2018-05-01,2018-05-08,adoption,Adopted,7.953424657534247
cat,black,Male,2021-06-13,normal,welfare seized,2022-01-13,2022-01-29,return to owner,Not Adopted,3.8328767123287673
dog,black,Spayed,2018-11-08,normal,stray,2020-11-08,2020-11-30,transport,Not Adopted,6.4301369863013695
cat,gray,Spayed,2023-03-30,ill mild,stray,2023-05-24,2023-05-27,adoption,Adopted,2.0383561643835617
cat,gray,Male,2017-09-12,fractious,stray,2019-09-12,2019-09-26,euthanasia,Not Adopted,7.586301369863014
cat,tortie,Spayed,2014-05-30,normal,owner surrender,2019-05-30,2019-06-02,transfer,Not Adopted,10.876712328767123
cat,black,Female,2017-02-06,under age/weight,owner surrender,2017-02-23,2017-02-23,transfer,Not Adopted,8.183561643835617
cat,white,Male,2017-02-06,under age/weight,owner surrender,2017-02-23,2017-02-23,transfer,Not Adopted,8.183561643835617
cat,gray tabby,Male,2017-01-30,under age/weight,owner surrender,2017-02-23,2017-02-24,rescue,Adopted,8.202739726027398
dog,blue,Male,2015-07-08,normal,stray,2017-07-08,2017-09-01,euthanasia,Not Adopted,9.76986301369863
cat,calico,Female,2016-10-23,normal,owner surrender,2017-02-23,2017-02-23,transfer,Not Adopted,8.473972602739726
cat,tortie,Female,2017-05-13,under age/weight,stray,2017-06-13,2017-06-15,rescue,Adopted,7.920547945205479
dog,tan,Neutered,2007-03-27,injured  mild,stray,2018-03-27,2018-03-31,euthanasia,Not Adopted,18.057534246575344
dog,brown brindle,Neutered,2021-12-12,normal,stray,2022-11-12,2022-11-30,adoption,Adopted,3.334246575342466
dog,black,Male,2020-12-15,normal,stray,2022-12-15,2022-12-15,transfer,Not Adopted,4.326027397260274
dog,white,Female,2011-12-10,normal,stray,2018-12-19,2018-12-20,return to owner,Not Adopted,13.347945205479451
dog,white,Female,2016-07-09,ill severe,stray,2024-07-09,2024-07-10,return to owner,Not Adopted,8.764383561643836
dog,white,Neutered,2013-12-21,normal,owner surrender,2019-08-04,2019-08-17,adoption,Adopted,11.315068493150685
dog,brown brindle,Neutered,2015-01-16,ill severe,stray,2020-01-16,2020-01-25,adoption,Adopted,10.243835616438357
dog,tricolor,Male,2023-12-26,normal,stray,2023-12-26,2023-12-29,rescue,Adopted,1.295890410958904
cat,silver tabby,Female,2024-08-18,under age/weight,stray,2024-09-22,2024-10-08,rescue,Adopted,0.6493150684931507
dog,black,Spayed,2017-09-20,normal,stray,2024-09-20,2024-09-27,adoption,Adopted,7.564383561643836
cat,white,Male,2022-05-10,under age/weight,stray,2022-06-03,2022-06-04,euthanasia,Not Adopted,2.926027397260274
cat,black,Female,2022-05-10,under age/weight,stray,2022-06-03,2022-06-04,euthanasia,Not Adopted,2.926027397260274
cat,black,Female,2018-08-25,ill moderatete,stray,2019-08-25,2019-08-26,euthanasia,Not Adopted,6.635616438356164
dog,brown,Female,2015-06-13,injured  moderate,stray,2019-06-13,2019-07-02,rescue,Adopted,9.838356164383562
cat,gray,Male,2024-08-12,under age/weight,stray,2024-09-12,2024-10-12,rescue,Adopted,0.6657534246575343
cat,gray,Female,2024-08-12,under age/weight,stray,2024-09-12,2024-10-12,rescue,Adopted,0.6657534246575343
cat,gray,Male,2024-08-12,under age/weight,stray,2024-09-12,2024-10-12,rescue,Adopted,0.6657534246575343
cat,black,Female,2023-08-29,i/i report,stray,2023-10-10,2023-11-20,rescue,Adopted,1.621917808219178
cat,brown  tabby,Neutered,2020-01-02,normal,stray,2020-07-02,2020-08-02,adoption,Adopted,5.279452054794521
cat,seal point,Female,2019-09-11,under age/weight,stray,2019-10-17,2019-10-25,rescue,Adopted,5.589041095890411
cat,brown  tabby,Male,2019-09-11,under age/weight,stray,2019-10-17,2019-10-25,rescue,Adopted,5.589041095890411
cat,black,Spayed,2021-11-14,normal,stray,2022-04-15,2022-04-23,adoption,Adopted,3.410958904109589
cat,brown  tabby,Male,2019-09-06,normal,stray,2019-11-06,2019-11-13,rescue,Adopted,5.602739726027397
cat,black,Male,2024-04-05,under age/weight,stray,2024-04-11,2024-06-11,rescue,Adopted,1.0191780821917809
cat,black,Female,2024-04-05,under age/weight,stray,2024-04-11,2024-06-11,rescue,Adopted,1.0191780821917809
dog,black,Spayed,2007-01-08,ill severe,owner surrender,2019-11-02,2019-11-06,adoption,Adopted,18.27123287671233
dog,brown,Neutered,2020-06-04,normal,stray,2022-06-03,2022-06-09,adoption,Adopted,4.857534246575343
cat,white,Spayed,2016-05-15,normal,stray,2018-05-15,2018-06-12,"shelter, neuter, return",Not Adopted,8.915068493150685
cat,white,Unknown,2018-04-23,under age/weight,stray,2018-05-15,2018-05-25,euthanasia,Not Adopted,6.975342465753425
cat,gray tabby,Neutered,2023-04-19,fractious,stray,2024-04-18,2024-04-27,community cat,Not Adopted,1.9835616438356165
dog,black,Neutered,2020-09-21,normal,stray,2023-09-21,2024-01-13,adoption,Adopted,4.558904109589041
cat,white,Female,2017-08-25,under age/weight,stray,2017-09-07,2017-09-09,rescue,Adopted,7.635616438356164
cat,gray,Male,2017-08-25,under age/weight,stray,2017-09-07,2017-09-09,rescue,Adopted,7.635616438356164
cat,calico,Spayed,2015-10-06,normal,stray,2018-10-06,2018-12-16,adoption,Adopted,9.523287671232877
cat,white,Female,2018-07-22,normal,stray,2018-10-06,2018-10-06,euthanasia,Not Adopted,6.728767123287671
cat,gray,Unknown,2017-08-21,under age/weight,stray,2017-09-21,2017-09-23,rescue,Adopted,7.646575342465753
dog,black,Spayed,2019-03-20,normal,stray,2024-03-18,2024-03-27,return to owner,Not Adopted,6.068493150684931
dog,brown,Neutered,2022-02-06,normal,stray,2022-06-05,2022-06-16,homefirst,Adopted,3.180821917808219
dog,tan,Female,2018-09-12,injured  severe,stray,2023-09-12,2023-09-13,euthanasia,Not Adopted,6.586301369863014
dog,black,Neutered,2017-12-21,normal,stray,2018-06-21,2018-06-22,return to owner,Not Adopted,7.3123287671232875
cat,brown  tabby,Neutered,2013-12-15,feral,stray,2017-12-15,2017-12-28,"shelter, neuter, return",Not Adopted,11.331506849315069
cat,white,Neutered,2022-04-05,ill mild,stray,2022-07-05,2022-08-25,adoption,Adopted,3.021917808219178
reptile,green,Unknown,2016-08-25,injured  severe,wildlife,2017-08-25,2017-08-25,transfer,Not Adopted,8.635616438356164
cat,orange tabby,Neutered,2019-11-26,normal,stray,2020-07-26,2020-07-26,return to owner,Not Adopted,5.380821917808219
cat,seal point,Unknown,2022-05-07,ill severe,stray,2022-06-07,2022-06-07,died,Not Adopted,2.9342465753424656
cat,brown  tabby,Female,2020-04-23,injured  moderate,stray,2020-06-23,2020-07-21,rescue,Adopted,4.972602739726027
cat,cream tabby,Male,2017-10-14,under age/weight,stray,2017-11-02,2017-11-02,euthanasia,Not Adopted,7.498630136986302
dog,brown,Female,2019-05-25,injured  moderate,stray,2024-05-25,2024-05-28,euthanasia,Not Adopted,5.887671232876713
cat,orange,Male,2019-07-12,normal,stray,2019-09-12,2019-09-13,rescue,Adopted,5.756164383561644
dog,black,Female,2016-02-12,normal,stray,2017-02-12,2017-02-18,transfer,Not Adopted,9.169863013698631
cat,gray tabby,Female,2018-05-16,normal,stray,2018-05-19,2018-08-11,rescue,Adopted,6.912328767123288
cat,black,Neutered,2020-06-16,normal,stray,2020-10-16,2020-11-05,adoption,Adopted,4.824657534246575
dog,black,Male,2013-08-30,normal,stray,2018-08-30,2018-09-09,return to owner,Not Adopted,11.624657534246575
cat,orange tabby,Male,2024-08-12,ill severe,stray,2024-09-12,2024-09-13,euthanasia,Not Adopted,0.6657534246575343
cat,lynx point,Spayed,2024-07-11,under age/weight,stray,2024-08-07,2024-08-09,rescue,Adopted,0.7534246575342466
cat,seal point,Neutered,2024-07-11,under age/weight,stray,2024-08-07,2024-08-09,rescue,Adopted,0.7534246575342466
dog,tan,Male,2017-11-26,normal,stray,2018-04-26,2018-05-02,transfer,Not Adopted,7.380821917808219
dog,brown brindle,Male,2014-11-09,injured  severe,stray,2017-11-09,2017-11-15,return to owner,Not Adopted,10.43013698630137
cat,orange,Male,2018-07-25,under age/weight,stray,2018-08-15,2018-08-15,euthanasia,Not Adopted,6.720547945205479
dog,brown,Spayed,2009-02-23,normal,stray,2017-06-28,2017-06-28,return to owner,Not Adopted,16.14246575342466
cat,black,Female,2017-04-07,normal,stray,2017-07-07,2017-07-20,adoption,Adopted,8.01917808219178
bird,white,Unknown,2019-09-11,injured  severe,wildlife,2020-09-11,2020-09-11,euthanasia,Not Adopted,5.589041095890411
cat,black,Male,2021-09-27,injured  severe,stray,2021-10-26,2021-11-19,rescue,Adopted,3.5424657534246577
dog,brown,Neutered,2021-09-22,normal,stray,2022-09-22,2022-10-19,adoption,Adopted,3.5561643835616437
dog,brown brindle,Neutered,2021-03-30,injured  moderate,stray,2024-03-30,2024-04-18,adoption,Adopted,4.038356164383561
cat,gray tabby,Female,2018-05-11,under age/weight,stray,2018-07-11,2018-07-26,rescue,Adopted,6.926027397260274
dog,black,Female,2017-07-29,normal,owner surrender,2019-07-29,2019-07-30,transfer,Not Adopted,7.7095890410958905
dog,white,Female,2022-01-28,normal,stray,2023-01-28,2023-02-03,adoption,Adopted,3.2054794520547945
rabbit,black,Neutered,2022-01-30,normal,stray,2023-01-21,2023-02-16,rescue,Adopted,3.2
cat,gray,Female,2014-07-31,injured  moderate,stray,2022-07-31,2022-07-31,transfer,Not Adopted,10.706849315068494
dog,silver,Spayed,2014-05-27,normal,stray,2020-05-27,2020-05-28,return to owner,Not Adopted,10.884931506849314
dog,black,Male,2012-07-03,normal,stray,2024-07-03,2024-07-07,return to owner,Not Adopted,12.783561643835617
dog,tan,Neutered,2020-01-19,normal,stray,2023-01-19,2023-05-24,adoption,Adopted,5.232876712328767
dog,chocolate,Female,2014-01-08,normal,safe keep,2017-01-08,2017-01-23,return to owner,Not Adopted,11.265753424657534
cat,white,Female,2023-08-13,under age/weight,stray,2023-09-24,2023-10-04,rescue,Adopted,1.6657534246575343
dog,brown,Neutered,2018-01-30,normal,stray,2020-01-30,2020-01-30,return to owner,Not Adopted,7.2027397260273975
reptile,green,Unknown,2019-02-15,normal,stray,2020-02-15,2020-02-24,rescue,Adopted,6.158904109589041
cat,white,Female,2021-06-19,injured  severe,stray,2023-06-19,2023-06-19,euthanasia,Not Adopted,3.8164383561643835
cat,white,Male,2024-07-11,under age/weight,stray,2024-07-17,2024-07-31,rescue,Adopted,0.7534246575342466
dog,brown,Neutered,2021-08-31,normal,stray,2023-08-30,2023-12-09,adoption,Adopted,3.6164383561643834
dog,yellow,Neutered,2023-11-14,normal,stray,2024-09-14,2024-10-16,adoption,Adopted,1.4109589041095891
rabbit,black,Neutered,2020-11-09,normal,stray,2022-11-09,2023-02-18,adoption,Adopted,4.424657534246576
dog,black,Neutered,2023-02-08,fractious,stray,2024-02-08,2024-08-02,rescue,Adopted,2.175342465753425
dog,brown,Male,2018-03-27,normal,stray,2019-03-27,2019-04-02,transfer,Not Adopted,7.049315068493151
dog,black,Neutered,2013-10-16,normal,confiscate,2017-10-11,2017-12-21,euthanasia,Not Adopted,11.495890410958904
cat,brown  tabby,Female,2019-08-02,under age/weight,stray,2019-09-11,2019-09-13,rescue,Adopted,5.698630136986301
dog,brown brindle,Spayed,2021-01-25,normal,stray,2024-01-25,2024-02-02,adoption,Adopted,4.213698630136986
bird,black,Unknown,2022-04-20,ill moderatete,wildlife,2023-04-20,2023-04-20,transfer,Not Adopted,2.9808219178082194
cat,gray,Spayed,2018-08-27,normal,stray,2020-08-27,2020-08-28,return to owner,Not Adopted,6.63013698630137
cat,orange tabby,Neutered,2019-05-27,ill moderatete,stray,2024-05-27,2024-06-14,community cat,Not Adopted,5.882191780821918
wild,gray,Unknown,2018-09-25,ill severe,wildlife,2021-09-25,2021-09-25,euthanasia,Not Adopted,6.550684931506849
cat,brown,Neutered,2018-06-03,injured  mild,stray,2022-06-03,2022-06-23,community cat,Not Adopted,6.863013698630137
dog,brown brindle,Spayed,2020-07-14,normal,stray,2022-04-14,2022-06-29,adoption,Adopted,4.747945205479452
cat,black,Spayed,2024-05-06,under age/weight,stray,2024-05-23,2024-08-17,adoption,Adopted,0.9342465753424658
cat,white,Neutered,2024-05-10,under age/weight,stray,2024-05-23,2024-08-01,adoption,Adopted,0.9232876712328767
cat,gray,Spayed,2024-05-13,under age/weight,stray,2024-05-23,2024-08-17,adoption,Adopted,0.915068493150685
dog,tan,Male,2014-04-02,normal,stray,2022-04-02,2022-04-21,adoption,Adopted,11.035616438356165
dog,black,Neutered,2024-06-27,normal,stray,2024-11-27,2024-12-07,rescue,Adopted,0.7917808219178082
dog,tricolor,Female,2019-10-07,normal,stray,2020-02-07,2020-02-13,transfer,Not Adopted,5.517808219178082
cat,gray,Neutered,2012-06-07,injured  severe,stray,2017-06-07,2017-06-15,"shelter, neuter, return",Not Adopted,12.854794520547944
dog,brown,Spayed,2016-06-02,ill moderatete,stray,2024-06-02,2024-06-14,adoption,Adopted,8.865753424657534
dog,white,Neutered,2021-06-02,ill moderatete,stray,2024-06-02,2024-09-01,adoption,Adopted,3.863013698630137
cat,gray,Neutered,2015-03-02,injured  moderate,stray,2022-03-02,2022-04-21,community cat,Not Adopted,10.12054794520548
cat,brown  tabby,Male,2023-04-07,ill moderatete,stray,2023-06-07,2023-06-08,died,Not Adopted,2.0164383561643837
dog,cream,Neutered,2021-09-14,normal,stray,2023-09-01,2023-09-14,adoption,Adopted,3.578082191780822
dog,blue,Male,2023-08-23,ill mild,stray,2024-08-23,2024-08-28,euthanasia,Not Adopted,1.6383561643835616
dog,black,Spayed,2019-02-16,normal,stray,2023-02-16,2023-03-01,adoption,Adopted,6.156164383561644
cat,black,Female,2018-07-01,under age/weight,stray,2018-08-01,2018-08-03,transfer,Not Adopted,6.786301369863014
dog,tan,Male,2012-01-21,normal,owner surrender,2017-01-21,2017-01-25,adoption,Adopted,13.232876712328768
dog,tan,Female,2017-02-09,normal,stray,2020-02-09,2020-02-15,transfer,Not Adopted,8.175342465753424
cat,gray tabby,Spayed,2024-01-16,ill moderatete,stray,2024-09-16,2024-09-30,community cat,Not Adopted,1.2383561643835617
dog,fawn,Female,2023-11-15,ill moderatete,stray,2024-11-15,2024-11-17,return to owner,Not Adopted,1.4082191780821918
dog,tan,Male,2010-03-27,normal,confiscate,2018-03-27,2018-03-28,return to owner,Not Adopted,15.054794520547945
other,gray,Male,2019-06-01,injured  severe,wildlife,2020-06-01,2020-06-01,euthanasia,Not Adopted,5.868493150684931
dog,black,Spayed,2002-10-09,ill moderatete,stray,2021-10-20,2021-10-21,return to owner,Not Adopted,22.523287671232875
cat,calico,Unknown,2017-07-10,under age/weight,stray,2017-07-12,2017-07-12,euthanasia,Not Adopted,7.761643835616439
cat,calico,Unknown,2017-07-10,under age/weight,stray,2017-07-12,2017-07-12,euthanasia,Not Adopted,7.761643835616439
cat,black smoke,Unknown,2023-07-06,under age/weight,stray,2023-07-07,2023-07-07,rescue,Adopted,1.7698630136986302
dog,brown,Spayed,2016-12-03,normal,stray,2021-11-12,2022-01-09,rescue,Adopted,8.361643835616439
dog,black,Male,2016-04-12,normal,stray,2018-07-02,2018-07-11,return to owner,Not Adopted,9.005479452054795
cat,black,Neutered,2023-08-21,under age/weight,stray,2023-10-03,2024-01-14,adoption,Adopted,1.643835616438356
cat,orange tabby,Male,2024-02-24,ill mild,stray,2024-04-05,2024-04-07,rescue,Adopted,1.1315068493150684
dog,tan,Female,2014-11-25,normal,stray,2018-11-25,2018-11-28,return to owner,Not Adopted,10.386301369863014
cat,orange tabby,Spayed,2024-06-30,under age/weight,stray,2024-07-26,2024-09-26,rescue,Adopted,0.7835616438356164
dog,black,Spayed,2024-05-10,normal,return,2024-09-26,2024-10-05,adoption,Adopted,0.9232876712328767
dog,cream,Spayed,2019-02-14,behavior  moderate,owner surrender,2020-07-09,2020-08-06,rescue,Adopted,6.161643835616438
dog,brown,Male,2012-12-31,normal,stray,2022-12-31,2022-12-31,return to owner,Not Adopted,12.287671232876713
dog,yellow,Male,2007-02-20,ill severe,stray,2017-02-20,2017-02-20,euthanasia,Not Adopted,18.153424657534245
dog,gray,Neutered,2022-03-03,normal,stray,2022-12-02,2023-03-19,adoption,Adopted,3.1123287671232878
dog,white,Spayed,2017-07-04,normal,owner surrender,2020-03-07,2020-03-08,transfer,Not Adopted,7.778082191780822
dog,white,Male,2017-10-25,injured  moderate,stray,2018-10-25,2018-11-11,rescue,Adopted,7.468493150684932
dog,white,Neutered,2024-03-19,normal,stray,2024-12-19,2024-12-29,adoption,Adopted,1.0657534246575342
dog,brown,Female,2019-02-25,under age/weight,stray,2019-04-03,2019-04-06,transfer,Not Adopted,6.131506849315069
cat,white,Spayed,2019-08-04,under age/weight,stray,2019-08-25,2019-11-20,adoption,Adopted,5.693150684931507
dog,white,Female,2008-05-03,ill moderatete,stray,2018-05-03,2018-05-12,rescue,Adopted,16.953424657534246
dog,brown,Neutered,2019-02-18,normal,stray,2021-02-18,2021-03-04,adoption,Adopted,6.1506849315068495
dog,red,Neutered,2020-06-05,normal,stray,2024-06-05,2024-07-05,adoption,Adopted,4.854794520547945
dog,red,Neutered,2022-06-04,normal,owner surrender,2024-02-08,2024-02-11,adoption,Adopted,2.8575342465753426
dog,red,Spayed,2020-06-05,normal,stray,2024-06-05,2024-06-15,adoption,Adopted,4.854794520547945
cat,black,Male,2023-07-03,normal,stray,2023-08-02,2023-08-24,rescue,Adopted,1.7780821917808218
cat,black,Female,2023-07-03,normal,stray,2023-08-02,2023-08-24,rescue,Adopted,1.7780821917808218
cat,black,Spayed,2022-08-02,normal,stray,2023-08-02,2023-10-25,community cat,Not Adopted,2.695890410958904
dog,white,Spayed,2021-02-16,normal,quarantine,2023-02-16,2023-03-16,adoption,Adopted,4.153424657534247
dog,black,Female,2023-04-20,under age/weight,stray,2023-04-19,2023-04-21,rescue,Adopted,1.9808219178082191
dog,black,Male,2023-04-20,under age/weight,stray,2023-04-19,2023-04-21,rescue,Adopted,1.9808219178082191
dog,black,Female,2023-04-20,under age/weight,stray,2023-04-19,2023-04-21,rescue,Adopted,1.9808219178082191
dog,gray,Male,2022-10-08,injured  mild,stray,2023-02-08,2023-03-04,adoption,Adopted,2.5123287671232877
cat,gray,Female,2023-06-13,i/i report,stray,2023-07-28,2023-08-12,adoption,Adopted,1.832876712328767
cat,gray,Spayed,2023-08-15,under age/weight,stray,2023-09-06,2023-10-29,adoption,Adopted,1.6602739726027398
cat,gray tabby,Unknown,2021-07-04,injured  severe,stray,2024-07-04,2024-07-04,euthanasia,Not Adopted,3.7753424657534245
dog,white,Male,2019-09-04,normal,stray,2023-03-03,2023-03-04,return to owner,Not Adopted,5.608219178082192
dog,gray,Female,2015-01-09,injured  mild,stray,2023-01-09,2023-01-11,euthanasia,Not Adopted,10.263013698630138
dog,white,Female,2018-01-19,normal,confiscate,2019-04-19,2019-04-19,return to owner,Not Adopted,7.232876712328767
cat,point,Female,2022-03-24,ill moderatete,stray,2023-03-24,2023-03-24,rescue,Adopted,3.0547945205479454
bird,brown,Unknown,2018-07-25,injured  severe,wildlife,2019-07-25,2019-07-25,transfer,Not Adopted,6.720547945205479
dog,tricolor,Male,2013-09-17,normal,owner surrender,2017-10-06,2017-10-07,transfer,Not Adopted,11.575342465753424
cat,calico,Unknown,2019-03-28,ill severe,stray,2022-03-28,2022-03-28,missing,Not Adopted,6.046575342465753
other,brown,Female,2023-01-01,injured  moderate,wildlife,2024-01-01,2024-01-01,euthanasia,Not Adopted,2.2794520547945205
cat,white,Male,2016-04-26,normal,stray,2018-04-26,2018-05-03,transfer,Not Adopted,8.967123287671233
cat,orange tabby,Neutered,2016-08-18,ill mild,stray,2021-02-22,2021-02-25,euthanasia,Not Adopted,8.654794520547945
cat,gray tabby,Spayed,2019-08-18,ill mild,stray,2020-08-18,2020-09-10,"shelter, neuter, return",Not Adopted,5.654794520547945
cat,black,Spayed,2019-08-18,ill mild,stray,2020-08-18,2020-09-05,"shelter, neuter, return",Not Adopted,5.654794520547945
cat,white,Unknown,2017-07-13,under age/weight,stray,2017-07-13,2017-07-18,rescue,Adopted,7.7534246575342465
cat,black,Male,2017-05-03,under age/weight,stray,2017-06-03,2017-06-23,rescue,Adopted,7.947945205479452
cat,brown  tabby,Female,2017-05-03,under age/weight,stray,2017-06-03,2017-06-23,rescue,Adopted,7.947945205479452
cat,black,Female,2016-11-03,normal,stray,2018-11-03,2018-12-30,rescue,Adopted,8.443835616438356
cat,brown  tabby,Male,2017-03-31,under age/weight,stray,2017-03-31,2017-04-03,transfer,Not Adopted,8.038356164383561
cat,black,Female,2014-03-31,normal,stray,2017-03-31,2017-04-03,transfer,Not Adopted,11.04109589041096
cat,gray,Spayed,2023-07-15,normal,stray,2024-07-14,2024-08-04,rescue,Adopted,1.7452054794520548
dog,tan,Neutered,2019-04-14,injured  severe,stray,2024-04-14,2024-04-19,rescue,Adopted,6
cat,brown  tabby,Unknown,2018-08-03,ill severe,stray,2018-10-03,2018-10-03,euthanasia,Not Adopted,6.695890410958904
cat,black,Spayed,2024-06-17,under age/weight,stray,2024-06-19,2024-08-31,adoption,Adopted,0.8191780821917808
dog,chocolate,Female,2017-06-24,normal,stray,2019-06-24,2019-06-30,transfer,Not Adopted,7.8054794520547945
dog,tan,Neutered,2015-06-20,normal,stray,2019-06-20,2019-06-26,transfer,Not Adopted,9.819178082191781
bird,white,Unknown,2016-05-27,injured  severe,wildlife,2017-05-27,2017-05-27,transfer,Not Adopted,8.882191780821918
bird,gray,Unknown,2015-03-02,ill severe,wildlife,2020-03-02,2020-03-02,transfer,Not Adopted,10.12054794520548
