animal_type,primary_color,sex,dob,intake_condition,intake_type,intake_date,outcome_date,outcome_type,outcome_group,age_at_intake
dog,white,Female,2016-07-09,ill severe,stray,2024-07-09,2024-07-10,return to owner,Not Adopted,8.72054794520548
dog,white,Neutered,2013-12-21,normal,owner surrender,2019-08-04,2019-08-17,adoption,Adopted,11.271232876712329
dog,brown brindle,Neutered,2015-01-16,ill severe,stray,2020-01-16,2020-01-25,adoption,Adopted,10.2
dog,tricolor,Male,2023-12-26,normal,stray,2023-12-26,2023-12-29,rescue,Adopted,1.252054794520548
cat,silver tabby,Female,2024-08-18,under age/weight,stray,2024-09-22,2024-10-08,rescue,Adopted,0.6054794520547945
dog,black,Spayed,2017-09-20,normal,stray,2024-09-20,2024-09-27,adoption,Adopted,7.52054794520548
cat,white,Male,2022-05-10,under age/weight,stray,2022-06-03,2022-06-04,euthanasia,Not Adopted,2.882191780821918
cat,black,Female,2022-05-10,under age/weight,stray,2022-06-03,2022-06-04,euthanasia,Not Adopted,2.882191780821918
cat,black,Female,2018-08-25,ill moderatete,stray,2019-08-25,2019-08-26,euthanasia,Not Adopted,6.5917808219178085
dog,brown,Female,2015-06-13,injured  moderate,stray,2019-06-13,2019-07-02,rescue,Adopted,9.794520547945206
cat,gray,Male,2024-08-12,under age/weight,stray,2024-09-12,2024-10-12,rescue,Adopted,0.6219178082191781
cat,gray,Female,2024-08-12,under age/weight,stray,2024-09-12,2024-10-12,rescue,Adopted,0.6219178082191781
cat,gray,Male,2024-08-12,under age/weight,stray,2024-09-12,2024-10-12,rescue,Adopted,0.6219178082191781
cat,black,Female,2023-08-29,i/i report,stray,2023-10-10,2023-11-20,rescue,Adopted,1.5780821917808219
cat,brown  tabby,Neutered,2020-01-02,normal,stray,2020-07-02,2020-08-02,adoption,Adopted,5.235616438356164
cat,seal point,Female,2019-09-11,under age/weight,stray,2019-10-17,2019-10-25,rescue,Adopted,5.545205479452055
cat,brown  tabby,Male,2019-09-11,under age/weight,stray,2019-10-17,2019-10-25,rescue,Adopted,5.545205479452055
cat,black,Spayed,2021-11-14,normal,stray,2022-04-15,2022-04-23,adoption,Adopted,3.367123287671233
cat,brown  tabby,Male,2019-09-06,normal,stray,2019-11-06,2019-11-13,rescue,Adopted,5.558904109589041
cat,black,Male,2024-04-05,under age/weight,stray,2024-04-11,2024-06-11,rescue,Adopted,0.9753424657534246
cat,black,Female,2024-04-05,under age/weight,stray,2024-04-11,2024-06-11,rescue,Adopted,0.9753424657534246
dog,black,Spayed,2007-01-08,ill severe,owner surrender,2019-11-02,2019-11-06,adoption,Adopted,18.22739726027397
dog,brown,Neutered,2020-06-04,normal,stray,2022-06-03,2022-06-09,adoption,Adopted,4.813698630136987
cat,white,Spayed,2016-05-15,normal,stray,2018-05-15,2018-06-12,"shelter, neuter, return",Not Adopted,8.871232876712329
cat,white,Unknown,2018-04-23,under age/weight,stray,2018-05-15,2018-05-25,euthanasia,Not Adopted,6.931506849315069
cat,gray tabby,Neutered,2023-04-19,fractious,stray,2024-04-18,2024-04-27,community cat,Not Adopted,1.9397260273972603
dog,black,Neutered,2020-09-21,normal,stray,2023-09-21,2024-01-13,adoption,Adopted,4.515068493150685
cat,white,Female,2017-08-25,under age/weight,stray,2017-09-07,2017-09-09,rescue,Adopted,7.5917808219178085
cat,gray,Male,2017-08-25,under age/weight,stray,2017-09-07,2017-09-09,rescue,Adopted,7.5917808219178085
cat,calico,Spayed,2015-10-06,normal,stray,2018-10-06,2018-12-16,adoption,Adopted,9.479452054794521
cat,white,Female,2018-07-22,normal,stray,2018-10-06,2018-10-06,euthanasia,Not Adopted,6.684931506849315
cat,gray,Unknown,2017-08-21,under age/weight,stray,2017-09-21,2017-09-23,rescue,Adopted,7.602739726027397
dog,black,Spayed,2019-03-20,normal,stray,2024-03-18,2024-03-27,return to owner,Not Adopted,6.024657534246575
dog,brown,Neutered,2022-02-06,normal,stray,2022-06-05,2022-06-16,homefirst,Adopted,3.136986301369863
dog,tan,Female,2018-09-12,injured  severe,stray,2023-09-12,2023-09-13,euthanasia,Not Adopted,6.542465753424658
dog,black,Neutered,2017-12-21,normal,stray,2018-06-21,2018-06-22,return to owner,Not Adopted,7.2684931506849315
cat,brown  tabby,Neutered,2013-12-15,feral,stray,2017-12-15,2017-12-28,"shelter, neuter, return",Not Adopted,11.287671232876713
cat,white,Neutered,2022-04-05,ill mild,stray,2022-07-05,2022-08-25,adoption,Adopted,2.978082191780822
reptile,green,Unknown,2016-08-25,injured  severe,wildlife,2017-08-25,2017-08-25,transfer,Not Adopted,8.591780821917808
cat,orange tabby,Neutered,2019-11-26,normal,stray,2020-07-26,2020-07-26,return to owner,Not Adopted,5.336986301369863
cat,seal point,Unknown,2022-05-07,ill severe,stray,2022-06-07,2022-06-07,died,Not Adopted,2.8904109589041096
cat,brown  tabby,Female,2020-04-23,injured  moderate,stray,2020-06-23,2020-07-21,rescue,Adopted,4.928767123287671
cat,cream tabby,Male,2017-10-14,under age/weight,stray,2017-11-02,2017-11-02,euthanasia,Not Adopted,7.454794520547945
dog,brown,Female,2019-05-25,injured  moderate,stray,2024-05-25,2024-05-28,euthanasia,Not Adopted,5.843835616438356
cat,orange,Male,2019-07-12,normal,stray,2019-09-12,2019-09-13,rescue,Adopted,5.712328767123288
dog,black,Female,2016-02-12,normal,stray,2017-02-12,2017-02-18,transfer,Not Adopted,9.126027397260273
cat,gray tabby,Female,2018-05-16,normal,stray,2018-05-19,2018-08-11,rescue,Adopted,6.868493150684931
cat,black,Neutered,2020-06-16,normal,stray,2020-10-16,2020-11-05,adoption,Adopted,4.780821917808219
dog,black,Male,2013-08-30,normal,stray,2018-08-30,2018-09-09,return to owner,Not Adopted,11.580821917808219
cat,orange tabby,Male,2024-08-12,ill severe,stray,2024-09-12,2024-09-13,euthanasia,Not Adopted,0.6219178082191781
cat,lynx point,Spayed,2024-07-11,under age/weight,stray,2024-08-07,2024-08-09,rescue,Adopted,0.7095890410958904
cat,seal point,Neutered,2024-07-11,under age/weight,stray,2024-08-07,2024-08-09,rescue,Adopted,0.7095890410958904
dog,tan,Male,2017-11-26,normal,stray,2018-04-26,2018-05-02,transfer,Not Adopted,7.336986301369863
dog,brown brindle,Male,2014-11-09,injured  severe,stray,2017-11-09,2017-11-15,return to owner,Not Adopted,10.386301369863014
cat,orange,Male,2018-07-25,under age/weight,stray,2018-08-15,2018-08-15,euthanasia,Not Adopted,6.676712328767123
dog,brown,Spayed,2009-02-23,normal,stray,2017-06-28,2017-06-28,return to owner,Not Adopted,16.0986301369863
cat,black,Female,2017-04-07,normal,stray,2017-07-07,2017-07-20,adoption,Adopted,7.975342465753425
bird,white,Unknown,2019-09-11,injured  severe,wildlife,2020-09-11,2020-09-11,euthanasia,Not Adopted,5.545205479452055
cat,black,Male,2021-09-27,injured  severe,stray,2021-10-26,2021-11-19,rescue,Adopted,3.4986301369863013
dog,brown,Neutered,2021-09-22,normal,stray,2022-09-22,2022-10-19,adoption,Adopted,3.5123287671232877
dog,brown brindle,Neutered,2021-03-30,injured  moderate,stray,2024-03-30,2024-04-18,adoption,Adopted,3.9945205479452053
cat,gray tabby,Female,2018-05-11,under age/weight,stray,2018-07-11,2018-07-26,rescue,Adopted,6.882191780821918
dog,black,Female,2017-07-29,normal,owner surrender,2019-07-29,2019-07-30,transfer,Not Adopted,7.6657534246575345
dog,white,Female,2022-01-28,normal,stray,2023-01-28,2023-02-03,adoption,Adopted,3.1616438356164385
rabbit,black,Neutered,2022-01-30,normal,stray,2023-01-21,2023-02-16,rescue,Adopted,3.1561643835616437
cat,gray,Female,2014-07-31,injured  moderate,stray,2022-07-31,2022-07-31,transfer,Not Adopted,10.663013698630136
dog,silver,Spayed,2014-05-27,normal,stray,2020-05-27,2020-05-28,return to owner,Not Adopted,10.841095890410958
dog,black,Male,2012-07-03,normal,stray,2024-07-03,2024-07-07,return to owner,Not Adopted,12.73972602739726
dog,tan,Neutered,2020-01-19,normal,stray,2023-01-19,2023-05-24,adoption,Adopted,5.189041095890411
dog,chocolate,Female,2014-01-08,normal,safe keep,2017-01-08,2017-01-23,return to owner,Not Adopted,11.221917808219178
cat,white,Female,2023-08-13,under age/weight,stray,2023-09-24,2023-10-04,rescue,Adopted,1.621917808219178
dog,brown,Neutered,2018-01-30,normal,stray,2020-01-30,2020-01-30,return to owner,Not Adopted,7.158904109589041
reptile,green,Unknown,2019-02-15,normal,stray,2020-02-15,2020-02-24,rescue,Adopted,6.115068493150685
cat,white,Female,2021-06-19,injured  severe,stray,2023-06-19,2023-06-19,euthanasia,Not Adopted,3.7726027397260276
cat,white,Male,2024-07-11,under age/weight,stray,2024-07-17,2024-07-31,rescue,Adopted,0.7095890410958904
dog,brown,Neutered,2021-08-31,normal,stray,2023-08-30,2023-12-09,adoption,Adopted,3.5726027397260274
dog,yellow,Neutered,2023-11-14,normal,stray,2024-09-14,2024-10-16,adoption,Adopted,1.367123287671233
rabbit,black,Neutered,2020-11-09,normal,stray,2022-11-09,2023-02-18,adoption,Adopted,4.380821917808219
dog,black,Neutered,2023-02-08,fractious,stray,2024-02-08,2024-08-02,rescue,Adopted,2.1315068493150684
dog,brown,Male,2018-03-27,normal,stray,2019-03-27,2019-04-02,transfer,Not Adopted,7.005479452054795
dog,black,Neutered,2013-10-16,normal,confiscate,2017-10-11,2017-12-21,euthanasia,Not Adopted,11.452054794520548
cat,brown  tabby,Female,2019-08-02,under age/weight,stray,2019-09-11,2019-09-13,rescue,Adopted,5.654794520547945
dog,brown brindle,Spayed,2021-01-25,normal,stray,2024-01-25,2024-02-02,adoption,Adopted,4.16986301369863
bird,black,Unknown,2022-04-20,ill moderatete,wildlife,2023-04-20,2023-04-20,transfer,Not Adopted,2.936986301369863
cat,gray,Spayed,2018-08-27,normal,stray,2020-08-27,2020-08-28,return to owner,Not Adopted,6.586301369863014
cat,orange tabby,Neutered,2019-05-27,ill moderatete,stray,2024-05-27,2024-06-14,community cat,Not Adopted,5.838356164383562
wild,gray,Unknown,2018-09-25,ill severe,wildlife,2021-09-25,2021-09-25,euthanasia,Not Adopted,6.506849315068493
cat,brown,Neutered,2018-06-03,injured  mild,stray,2022-06-03,2022-06-23,community cat,Not Adopted,6.8191780821917805
dog,brown brindle,Spayed,2020-07-14,normal,stray,2022-04-14,2022-06-29,adoption,Adopted,4.704109589041096
cat,black,Spayed,2024-05-06,under age/weight,stray,2024-05-23,2024-08-17,adoption,Adopted,0.8904109589041096
cat,white,Neutered,2024-05-10,under age/weight,stray,2024-05-23,2024-08-01,adoption,Adopted,0.8794520547945206
cat,gray,Spayed,2024-05-13,under age/weight,stray,2024-05-23,2024-08-17,adoption,Adopted,0.8712328767123287
dog,tan,Male,2014-04-02,normal,stray,2022-04-02,2022-04-21,adoption,Adopted,10.991780821917809
dog,black,Neutered,2024-06-27,normal,stray,2024-11-27,2024-12-07,rescue,Adopted,0.7479452054794521
dog,tricolor,Female,2019-10-07,normal,stray,2020-02-07,2020-02-13,transfer,Not Adopted,5.473972602739726
cat,gray,Neutered,2012-06-07,injured  severe,stray,2017-06-07,2017-06-15,"shelter, neuter, return",Not Adopted,12.810958904109588
dog,brown,Spayed,2016-06-02,ill moderatete,stray,2024-06-02,2024-06-14,adoption,Adopted,8.821917808219178
dog,white,Neutered,2021-06-02,ill moderatete,stray,2024-06-02,2024-09-01,adoption,Adopted,3.819178082191781
cat,gray,Neutered,2015-03-02,injured  moderate,stray,2022-03-02,2022-04-21,community cat,Not Adopted,10.076712328767123
cat,brown  tabby,Male,2023-04-07,ill moderatete,stray,2023-06-07,2023-06-08,died,Not Adopted,1.9726027397260273
dog,cream,Neutered,2021-09-14,normal,stray,2023-09-01,2023-09-14,adoption,Adopted,3.5342465753424657
dog,blue,Male,2023-08-23,ill mild,stray,2024-08-23,2024-08-28,euthanasia,Not Adopted,1.5945205479452054
dog,black,Spayed,2019-02-16,normal,stray,2023-02-16,2023-03-01,adoption,Adopted,6.112328767123287
cat,black,Female,2018-07-01,under age/weight,stray,2018-08-01,2018-08-03,transfer,Not Adopted,6.742465753424658
dog,tan,Male,2012-01-21,normal,owner surrender,2017-01-21,2017-01-25,adoption,Adopted,13.189041095890412
dog,tan,Female,2017-02-09,normal,stray,2020-02-09,2020-02-15,transfer,Not Adopted,8.131506849315068
cat,gray tabby,Spayed,2024-01-16,ill moderatete,stray,2024-09-16,2024-09-30,community cat,Not Adopted,1.1945205479452055
dog,fawn,Female,2023-11-15,ill moderatete,stray,2024-11-15,2024-11-17,return to owner,Not Adopted,1.3643835616438356
dog,tan,Male,2010-03-27,normal,confiscate,2018-03-27,2018-03-28,return to owner,Not Adopted,15.01095890410959
other,gray,Male,2019-06-01,injured  severe,wildlife,2020-06-01,2020-06-01,euthanasia,Not Adopted,5.824657534246575
dog,black,Spayed,2002-10-09,ill moderatete,stray,2021-10-20,2021-10-21,return to owner,Not Adopted,22.47945205479452
cat,calico,Unknown,2017-07-10,under age/weight,stray,2017-07-12,2017-07-12,euthanasia,Not Adopted,7.717808219178083
cat,calico,Unknown,2017-07-10,under age/weight,stray,2017-07-12,2017-07-12,euthanasia,Not Adopted,7.717808219178083
cat,black smoke,Unknown,2023-07-06,under age/weight,stray,2023-07-07,2023-07-07,rescue,Adopted,1.726027397260274
dog,brown,Spayed,2016-12-03,normal,stray,2021-11-12,2022-01-09,rescue,Adopted,8.317808219178081
dog,black,Male,2016-04-12,normal,stray,2018-07-02,2018-07-11,return to owner,Not Adopted,8.961643835616439
cat,black,Neutered,2023-08-21,under age/weight,stray,2023-10-03,2024-01-14,adoption,Adopted,1.6
cat,orange tabby,Male,2024-02-24,ill mild,stray,2024-04-05,2024-04-07,rescue,Adopted,1.0876712328767124
dog,tan,Female,2014-11-25,normal,stray,2018-11-25,2018-11-28,return to owner,Not Adopted,10.342465753424657
cat,orange tabby,Spayed,2024-06-30,under age/weight,stray,2024-07-26,2024-09-26,rescue,Adopted,0.7397260273972602
dog,black,Spayed,2024-05-10,normal,return,2024-09-26,2024-10-05,adoption,Adopted,0.8794520547945206
dog,cream,Spayed,2019-02-14,behavior  moderate,owner surrender,2020-07-09,2020-08-06,rescue,Adopted,6.117808219178082
dog,brown,Male,2012-12-31,normal,stray,2022-12-31,2022-12-31,return to owner,Not Adopted,12.243835616438357
dog,yellow,Male,2007-02-20,ill severe,stray,2017-02-20,2017-02-20,euthanasia,Not Adopted,18.10958904109589
dog,gray,Neutered,2022-03-03,normal,stray,2022-12-02,2023-03-19,adoption,Adopted,3.0684931506849313
dog,white,Spayed,2017-07-04,normal,owner surrender,2020-03-07,2020-03-08,transfer,Not Adopted,7.734246575342466
dog,white,Male,2017-10-25,injured  moderate,stray,2018-10-25,2018-11-11,rescue,Adopted,7.424657534246576
dog,white,Neutered,2024-03-19,normal,stray,2024-12-19,2024-12-29,adoption,Adopted,1.021917808219178
dog,brown,Female,2019-02-25,under age/weight,stray,2019-04-03,2019-04-06,transfer,Not Adopted,6.087671232876712
cat,white,Spayed,2019-08-04,under age/weight,stray,2019-08-25,2019-11-20,adoption,Adopted,5.64931506849315
dog,white,Female,2008-05-03,ill moderatete,stray,2018-05-03,2018-05-12,rescue,Adopted,16.90958904109589
dog,brown,Neutered,2019-02-18,normal,stray,2021-02-18,2021-03-04,adoption,Adopted,6.1068493150684935
dog,red,Neutered,2020-06-05,normal,stray,2024-06-05,2024-07-05,adoption,Adopted,4.810958904109589
dog,red,Neutered,2022-06-04,normal,owner surrender,2024-02-08,2024-02-11,adoption,Adopted,2.813698630136986
dog,red,Spayed,2020-06-05,normal,stray,2024-06-05,2024-06-15,adoption,Adopted,4.810958904109589
cat,black,Male,2023-07-03,normal,stray,2023-08-02,2023-08-24,rescue,Adopted,1.7342465753424658
cat,black,Female,2023-07-03,normal,stray,2023-08-02,2023-08-24,rescue,Adopted,1.7342465753424658
cat,black,Spayed,2022-08-02,normal,stray,2023-08-02,2023-10-25,community cat,Not Adopted,2.652054794520548
dog,white,Spayed,2021-02-16,normal,quarantine,2023-02-16,2023-03-16,adoption,Adopted,4.109589041095891
dog,black,Female,2023-04-20,under age/weight,stray,2023-04-19,2023-04-21,rescue,Adopted,1.936986301369863
dog,black,Male,2023-04-20,under age/weight,stray,2023-04-19,2023-04-21,rescue,Adopted,1.936986301369863
dog,black,Female,2023-04-20,under age/weight,stray,2023-04-19,2023-04-21,rescue,Adopted,1.936986301369863
dog,gray,Male,2022-10-08,injured  mild,stray,2023-02-08,2023-03-04,adoption,Adopted,2.4684931506849317
cat,gray,Female,2023-06-13,i/i report,stray,2023-07-28,2023-08-12,adoption,Adopted,1.789041095890411
cat,gray,Spayed,2023-08-15,under age/weight,stray,2023-09-06,2023-10-29,adoption,Adopted,1.6164383561643836
cat,gray tabby,Unknown,2021-07-04,injured  severe,stray,2024-07-04,2024-07-04,euthanasia,Not Adopted,3.7315068493150685
dog,white,Male,2019-09-04,normal,stray,2023-03-03,2023-03-04,return to owner,Not Adopted,5.564383561643836
dog,gray,Female,2015-01-09,injured  mild,stray,2023-01-09,2023-01-11,euthanasia,Not Adopted,10.219178082191782
dog,white,Female,2018-01-19,normal,confiscate,2019-04-19,2019-04-19,return to owner,Not Adopted,7.189041095890411
cat,point,Female,2022-03-24,ill moderatete,stray,2023-03-24,2023-03-24,rescue,Adopted,3.010958904109589
bird,brown,Unknown,2018-07-25,injured  severe,wildlife,2019-07-25,2019-07-25,transfer,Not Adopted,6.676712328767123
dog,tricolor,Male,2013-09-17,normal,owner surrender,2017-10-06,2017-10-07,transfer,Not Adopted,11.531506849315068
cat,calico,Unknown,2019-03-28,ill severe,stray,2022-03-28,2022-03-28,missing,Not Adopted,6.002739726027397
other,brown,Female,2023-01-01,injured  moderate,wildlife,2024-01-01,2024-01-01,euthanasia,Not Adopted,2.2356164383561645
cat,white,Male,2016-04-26,normal,stray,2018-04-26,2018-05-03,transfer,Not Adopted,8.923287671232877
cat,orange tabby,Neutered,2016-08-18,ill mild,stray,2021-02-22,2021-02-25,euthanasia,Not Adopted,8.610958904109589
cat,gray tabby,Spayed,2019-08-18,ill mild,stray,2020-08-18,2020-09-10,"shelter, neuter, return",Not Adopted,5.610958904109589
cat,black,Spayed,2019-08-18,ill mild,stray,2020-08-18,2020-09-05,"shelter, neuter, return",Not Adopted,5.610958904109589
cat,white,Unknown,2017-07-13,under age/weight,stray,2017-07-13,2017-07-18,rescue,Adopted,7.7095890410958905
cat,black,Male,2017-05-03,under age/weight,stray,2017-06-03,2017-06-23,rescue,Adopted,7.904109589041096
cat,brown  tabby,Female,2017-05-03,under age/weight,stray,2017-06-03,2017-06-23,rescue,Adopted,7.904109589041096
cat,black,Female,2016-11-03,normal,stray,2018-11-03,2018-12-30,rescue,Adopted,8.4
cat,brown  tabby,Male,2017-03-31,under age/weight,stray,2017-03-31,2017-04-03,transfer,Not Adopted,7.994520547945205
cat,black,Female,2014-03-31,normal,stray,2017-03-31,2017-04-03,transfer,Not Adopted,10.997260273972604
cat,gray,Spayed,2023-07-15,normal,stray,2024-07-14,2024-08-04,rescue,Adopted,1.7013698630136986
dog,tan,Neutered,2019-04-14,injured  severe,stray,2024-04-14,2024-04-19,rescue,Adopted,5.956164383561644
cat,brown  tabby,Unknown,2018-08-03,ill severe,stray,2018-10-03,2018-10-03,euthanasia,Not Adopted,6.652054794520548
cat,black,Spayed,2024-06-17,under age/weight,stray,2024-06-19,2024-08-31,adoption,Adopted,0.7753424657534247
dog,chocolate,Female,2017-06-24,normal,stray,2019-06-24,2019-06-30,transfer,Not Adopted,7.761643835616439
dog,tan,Neutered,2015-06-20,normal,stray,2019-06-20,2019-06-26,transfer,Not Adopted,9.775342465753425
bird,white,Unknown,2016-05-27,injured  severe,wildlife,2017-05-27,2017-05-27,transfer,Not Adopted,8.838356164383562
bird,gray,Unknown,2015-03-02,ill severe,wildlife,2020-03-02,2020-03-02,transfer,Not Adopted,10.076712328767123
